O*NET-SOC Code;Title;Description;Area
11-3031.00;Finanšu vadītājs;Plāno, vada vai koordinē filiāles, biroja vai iestādes nodaļas grāmatvedības, ieguldījumu, banku, apdrošināšanas, vērtspapīru un citas finanšu darbības.;Vadība
11-3031.01;Kasieris un kontrolieris;Tiešas finanšu darbības, piemēram, plānošana, iepirkumi un investīcijas visai organizācijai vai tās daļai.;Vadība
11-3031.03;Ieguldījumu fondu pārvaldnieks;Plāno, virza vai koordinē ieguldījumu stratēģiju vai darbības lielam likvīdo aktīvu kopumam, ko nodrošina institucionālie ieguldītāji vai individuālie investori.;Vadība
11-3051.00;Rūpnieciskās ražošanas vadītājs;Plāno, vada vai koordinē darba aktivitātes un resursus, kas nepieciešami produktu ražošanai saskaņā ar izmaksu, kvalitātes un kvantitātes specifikācijām.;Vadība
11-3051.01;Kvalitātes kontroles sistēmu vadītājs;Plāno, virza vai koordinē kvalitātes nodrošināšanas programmas. Formulē kvalitātes kontroles politiku un kontrolē laboratorijas un ražošanas centienu kvalitāti.;Vadība
11-3051.02;Ģeotermālās ražošanas vadītājs;Pārvalda darbības ģeotermālās enerģijas ražošanas iekārtās. Uztur un pārraudzī ģeotermālo iekārtu iekārtas efektīvai un drošai iekārtas darbībai.;Vadība
11-3051.03;Biodegvielas ražošanas vadītājs;Pārvalda biodegvielas ražošanu un rūpnīcu darbības. Apkopo un apstrādā informāciju par augu ražošanu un veiktspēju, diagnosticē problēmas un izstrādā koriģējošās procedūras.;Vadība
11-3051.04;Biomasas spēkstacijas vadītājs;Pārvalda darbības biomasas elektroenerģijas ražošanas iekārtās. Tiešās darba aktivitātes ražotnē, tostarp darbības un apkopes personāla uzraudzība.;Vadība
11-3051.06;Hidroelektrostacijas ražošanas vadītājs;Pārvalda darbību hidroelektroenerģijas ražošanas iekārtās. Uztur un uzrauga hidroelektrostaciju iekārtas efektīvai un drošai iekārtas darbībai.;Vadība
11-3061.00;Iepirkumu vadītājs;Plāno, vada vai koordinē pircēju, iepirkumu amatpersonu un saistīto darbinieku darbības, kas iesaistītas materiālu, produktu un pakalpojumu iegādē. Ietver vairumtirdzniecības vai mazumtirdzniecības tirdzniecības vadītājus un iepirkumu vadītājus.;Vadība
11-3071.00;Transporta, uzglabāšanas un izplatīšanas vadītājs;Plāno, vada vai koordinē transportēšanas, uzglabāšanas vai izplatīšanas darbības saskaņā ar organizācijas politiku un piemērojamiem valdības likumiem vai noteikumiem. Ietver loģistikas vadītājus.;Vadība
11-3071.04;Piegādes ķēdes vadītājs;Virza vai koordinē ražošanas, pirkšanas, noliktavu, izplatīšanas vai finanšu prognozēšanas pakalpojumus vai darbības, lai ierobežotu izmaksas un uzlabotu precizitāti, klientu apkalpošanu vai drošību. Izpēta esošās procedūras vai iespējas darbību racionalizēšanai, lai apmierinātu produktu izplatīšanas vajadzības. Virza krājumu pārvietošanu, uzglabāšanu vai apstrādi.;Vadība
11-3111.00;Atlīdzības un pabalstu vadītājs;Plāno, virza vai koordinē organizācijas kompensācijas un pabalstu darbības.;Vadība
11-3121.00;Cilvēkresursu vadītājs;Plāno, vada vai koordinē cilvēkresursu aktivitātes un organizācijas personālu.;Vadība
11-3131.00;Apmācību un attīstības vadītājs;Plāno, virza vai koordinē apmācības un attīstības pasākumus un organizācijas darbiniekus.;Vadība
11-9013.00;Lauksaimnieks, lopkopis un cits lauksaimniecības vadītājs;Plāno, vada vai koordinē fermu, rančo, siltumnīcu, akvakultūras darbību, stādaudzētavu, kokmateriālu laukumu vai citu lauksaimniecības uzņēmumu pārvaldību vai darbību. Var pieņemt darbā, apmācīt un uzraudzīt lauksaimniecības darbiniekus vai slēgt līgumus par pakalpojumiem, lai veiktu pārvaldītās darbības ikdienas darbības. Var iesaistīties vai pārraudzīt stādīšanas, kultivēšanas, ražas novākšanas, kā arī finanšu un mārketinga darbības.;Vadība
11-9021.00;Būvdarbu vadītājs;Plāno, vada vai koordinē, parasti ar pakļautā uzraudzības personāla starpniecību, darbības, kas saistītas ar konstrukciju, iekārtu un sistēmu būvniecību un uzturēšanu. Piedalās būvniecības projekta konceptuālā izstrādē un pārraudzī tā organizāciju, grafiku, budžeta plānošanu un ieviešanu. Ietver vadītājus specializētās būvniecības jomās, piemēram, galdniecībā vai santehnikā.;Vadība
11-9031.00;Izglītības un bērnu aprūpes administrators, pirmsskolas un dienas aprūpes iestāde;Plāno, vada vai koordinē pirmsskolas vai bērnu aprūpes centru akadēmiskās vai neakadēmiskās aktivitātes un programmas, tostarp aprūpi pirmsskolas un pēcskolas laikā.;Izglītība
11-9032.00;Izglītības administrators no bērnudārza līdz vidusskolai;Plāno, vada vai koordinē bērnudārza, pamatskolas vai vidusskolas akadēmiskās, administratīvās vai palīgdarbības.;Vadība
11-9033.00;Izglītības administrators, pēcvidusskola;Plāno, vada vai koordinē studentu apmācību, administrēšanu un pakalpojumus, kā arī citas pētniecības un izglītības aktivitātes pēcvidusskolas iestādēs, tostarp universitātēs, koledžās un jaunākās un kopienas koledžās.;Vadība
11-9039.00;Izglītības administrators, visi pārējie;Visi izglītības administratori nav uzskaitīti atsevišķi.;Vadība
11-9041.00;Arhitektūras un inženierzinātņu vadītājs;Plāno, vada vai koordinē darbības tādās jomās kā arhitektūra un inženierzinātnes vai pētniecība un attīstība šajās jomās.;Vadība
11-9041.01;Biodegvielas/biodīzeļdegvielas tehnoloģiju un produktu attīstības vadītājs;Definē, plāno vai izpilda biodegvielas/biodīzeļdegvielas pētniecības programmas, kas novērtē alternatīvas izejvielu un procesu tehnoloģijas ar tuvākā laika komerciālo potenciālu.;Vadība
11-9051.00;Ēdināšanas pakalpojumu vadītājs;Plāno, vada vai koordinē tādas organizācijas vai nodaļas darbības, kas apkalpo pārtiku un dzērienus.;Vadība
11-9071.00;Azartspēļu vadītājs;Plāno, vada vai koordinē azartspēļu darbības kazino. Var formulēt mājas noteikumus.;Vadība
11-9072.00;Izklaides un atpūtas vadītājs, izņemot azartspēles;Plāno, vada vai koordinē izklaides un atpūtas pasākumus un darbības atpūtas objektā, tostarp kruīza kuģos un parkos.;Vadība
11-9081.00;Viesnīcas vadītājs;Plāno, vada vai koordinē tādas organizācijas vai nodaļas darbības, kas nodrošina izmitināšanu un citas naktsmītnes.;Vadība
11-9111.00;Medicīnas un veselības pakalpojumu vadītājs;Plāno, vada vai koordinē medicīnas un veselības pakalpojumus slimnīcās, klīnikās, pārvaldītās aprūpes organizācijās, sabiedrības veselības aģentūrās vai līdzīgās organizācijās.;Veselība
11-9121.00;Dabaszinātņu vadītājs;Plāno, virza vai koordinē darbības tādās jomās kā dzīvības zinātnes, fiziskās zinātnes, matemātika, statistika, kā arī pētniecība un attīstība šajās jomās.;Zinātne
11-9121.01;Klīnisko pētījumu koordinators;Plāno, virza vai koordinē klīnisko pētījumu projektus. Vada klīnisko pētījumu projektos iesaistīto darbinieku darbības, lai nodrošinātu atbilstību protokoliem un vispārējiem klīniskajiem mērķiem. Var novērtēt un analizēt klīniskos datus.;Vadība
11-9121.02;Ūdens resursu speciālists;Izstrādā vai ievieš programmas un stratēģijas, kas saistītas ar ūdens resursu jautājumiem, piemēram, piegādes, kvalitātes un normatīvās atbilstības jautājumiem.;Vadība
11-9131.00;Pasta vadītājs un pasta uzraugs;"Plāno, vada vai koordinē ASV pasta nodaļas darbības, administratīvos, vadības un atbalsta pakalpojumus; vai koordinē pasta un ar to saistīto darbu strādājošo darbību norīkotajā pasta nodaļā.";Finanses
11-9141.00;Īpašuma, nekustamā īpašuma un kopienu asociāciju vadītājs;Plāno, vada vai koordinē komerciālā, rūpnieciskā vai dzīvojamā nekustamā īpašuma pārdošanas, pirkšanas, līzinga vai pārvaldības darbības. Ietver māju īpašnieku un dzīvokļu asociāciju, īrētu vai iznomātu mājokļu, ēku vai zemes pārvaldniekus (tostarp īpašumtiesības).;Vadība
11-9151.00;Sociālo un sabiedrisko pakalpojumu vadītājs;Plāno, vada vai koordinē sociālo pakalpojumu programmas vai kopienas informatīvās organizācijas aktivitātes. Pārraudzī programmas vai organizācijas budžetu un politiku attiecībā uz dalībnieku iesaistīšanu, programmas prasībām un priekšrocībām. Darbs var ietvert sociālo darbinieku, konsultantu vai probācijas darbinieku vadīšanu.;Sociālais
11-9161.00;Ārkārtas situāciju vadības direktors;Plāno un virza reaģēšanas uz katastrofām vai krīzes pārvarēšanas darbības, nodrošina sagatavotības apmācību katastrofām un sagatavo ārkārtas plānus un procedūras dabas (piemēram, viesuļvētras, plūdi, zemestrīces), kara laika vai tehnoloģiskām (piemēram, atomelektrostaciju avārijas vai bīstamu materiālu noplūdes) katastrofām vai ķīlnieku situācijām.;Finanses
11-9171.00;Apbedīšanas biroja vadītājs;Plāno, virza vai koordinē apbedīšanas biroju pakalpojumus vai resursus. Ietver tādas darbības kā pakalpojumu vai preču cenu noteikšana un apbedīšanas biroju telpu pārvaldīšana.;Vadība
11-9179.00;Personīgo pakalpojumu vadītājs, visi pārējie;Visi personīgo pakalpojumu vadītāji nav uzskaitīti atsevišķi.;Vadība
11-9179.01;Fitnesa un labsajūtas koordinators;Pārvalda vai koordinē fitnesa un labsajūtas programmas un pakalpojumus. Pārvalda un apmāca labsajūtas speciālistu, veselības pedagogu vai fitnesa instruktoru personālu.;Vadība
11-9179.02;Spa vadītājs;Plāno, vada vai koordinē spa iestādes darbības. Koordinē programmas, plāno un virza personālu, kā arī pārraudzī finanšu aktivitātes.;Vadība
11-9199.00;Vadītājs, visi pārējie;Visi vadītāji nav uzskaitīti atsevišķi.;Vadība
11-9199.01;Regulatīvo lietu vadītājs;Plāno, vada vai koordinē organizācijas ražošanas darbības, lai nodrošinātu atbilstību noteikumiem un standarta darbības procedūrām.;Vadība
11-9199.02;Atbilstības vadītājs;Plāno, vada vai koordinē organizācijas darbības, lai nodrošinātu atbilstību ētikas vai normatīvajiem standartiem.;Vadība
11-9199.08;Zaudējumu novēršanas vadītājs;Plāno un virza politiku, procedūras vai sistēmas, lai novērstu aktīvu zaudēšanu. Nosaka risku vai iespējamo atbildību un izstrādā riska kontroles pasākumus.;Vadība
11-9199.09;Vēja enerģijas operāciju vadītājs;Pārvalda vēja lauka darbības, tostarp personālu, apkopes darbības, finanšu darbības un plānošanu.;Vadība
11-9199.10;Vēja enerģijas attīstības vadītājs;Vada vai vada potenciālo vēja enerģijas biznesa iespēju izstrādi un novērtēšanu, tostarp vides pētījumus, atļauju izsniegšanu un priekšlikumus. Var vadīt arī projektu būvniecību.;Vadība
11-9199.11;Degradēto teritoriju pārbūves speciālists un objektu vadītājs;Plāno un virza piesārņoto īpašumu tīrīšanu un pārbūvi atkārtotai izmantošanai. Neietver īpašumus, kas ir pietiekami piesārņoti, lai kvalificētos kā Superfund vietnes.;Vadība
13-1011.00;Mākslinieku, izpildītāju un sportistu aģents un biznesa vadītājs;Pārstāv un reklamēt māksliniekus, izpildītājus un sportistus attiecībās ar esošajiem vai potenciālajiem darba devējiem. Var risināt līgumu sarunas un citus biznesa jautājumus klientiem.;Analītika
13-1021.00;Pircējs un iepirkumu aģents, lauksaimniecības produkti;Iegādājas lauksaimniecības produktus tālākai pārstrādei vai tālākai pārdošanai. Ietver koku fermu darbuzņēmējus, graudu brokerus un tirgus operatorus, graudu pircējus un tabakas pircējus. Var vienoties par līgumiem.;Analītika
13-1022.00;Vairumtirdzniecības un mazumtirdzniecības pircējs, izņemot lauksaimniecības produktus;Pērk preces vai preces, kas nav lauksaimniecības produkti, lai pārdotu tālāk patērētājiem vairumtirdzniecības vai mazumtirdzniecības līmenī, tostarp gan ilglietojuma, gan īslaicīgas lietošanas preces. Analizē iepriekšējās pirkšanas tendences, pārdošanas ierakstus, preču cenu un kvalitāti, lai noteiktu vērtību un ienesīgumu. Izvēlas, pasūtīt un autorizē preču apmaksu saskaņā ar līgumiem. Var vadīt tikšanās ar pārdošanas personālu un iepazīstināt ar jauniem produktiem. Var vienoties par līgumiem. Ietver arī vairumtirdzniecības un mazumtirdzniecības pircējus, kas nav lauksaimniecības produkti.;Analītika
13-1023.00;Iepirkuma aģents, izņemot vairumtirdzniecību, mazumtirdzniecību un lauksaimniecības produktus;Iegādājas iekārtas, aprīkojumu, instrumentus, detaļas, materiālus vai pakalpojumus, kas nepieciešami uzņēmuma darbībai. Iegādājas izejmateriālus vai pusfabrikātus ražošanai. Var vienoties par līgumiem.;Analītika
13-1031.00;Pretenziju regulētājs, pārbaudītājs un izmeklētājs;Pārskata nokārtotās prasības, lai noteiktu, vai maksājumi un norēķini tiek veikti saskaņā ar uzņēmuma praksi un procedūrām. Konsultējas ar juristu par prasībām, kurām nepieciešama tiesvedība. Var arī nokārtot apdrošināšanas atlīdzības.;Analītika
13-1032.00;Apdrošināšanas vērtētājs, automašīnu bojājumi;Novērtē automašīnas vai citu transportlīdzekļu bojājumus, lai noteiktu remonta izmaksas apdrošināšanas atlīdzības noregulēšanai. Sagatavo apdrošināšanas veidlapas, lai norādītu remonta izmaksas vai izmaksu tāmes un ieteikumus. Var vienoties ar automobiļu remontdarbnīcu par remonta izmaksām.;Analītika
13-1041.00;Atbilstības amatpersona;Pārbauda, novērtē un izmeklē atbilstību vai atbilstību likumiem un noteikumiem, kas regulē licenču un atļauju atbilstību līgumam, un veic citas atbilstības un izpildes pārbaudes un analīzes darbības, kas nav klasificētas citur.;Analītika
13-1041.01;Vides atbilstības inspektors;Pārbauda un izmeklē piesārņojuma avotus, lai aizsargātu sabiedrību un vidi un nodrošinātu atbilstību federālajiem, valsts un vietējiem noteikumiem un rīkojumiem.;Analītika
13-1041.03;Vienlīdzīgu iespēju pārstāvis un amatpersona;Pārraudzī un novērtē atbilstību vienlīdzīgu iespēju likumiem, vadlīnijām un politikām, lai nodrošinātu, ka nodarbinātības prakse un līgumu slēgšanas noteikumi sniedz vienlīdzīgas iespējas neatkarīgi no rases, reliģijas, ādas krāsas, nacionālās izcelsmes, dzimuma, vecuma vai invaliditātes.;Analītika
13-1041.04;Valdības īpašuma inspektors un izmeklētājs;Izpēta vai pārbauda valdības īpašumu, lai nodrošinātu atbilstību līgumiem un valdības noteikumiem.;Analītika
13-1041.06;Koroners;Tiešas darbības, piemēram, autopsijas, patoloģiskas un toksikoloģiskās analīzes un izmeklēšanas saistībā ar nāves gadījumu izmeklēšanu, kas notikuši juridiskās jurisdikcijas ietvaros, lai noteiktu nāves cēloni vai noteiktu atbildību par nejaušiem, vardarbīgiem vai neizskaidrojamiem nāves gadījumiem.;Analītika
13-1041.07;Regulēšanas lietu speciālists;Koordinē un dokumentē iekšējos normatīvos procesus, piemēram, iekšējos auditus, pārbaudes, licenču atjaunošanu vai reģistrāciju. Var apkopot un sagatavot materiālus iesniegšanai regulējošām aģentūrām.;Analītika
13-1041.08;Muitas brokeris;Sagatavo muitas dokumentāciju un pārliecinās, ka sūtījumi atbilst visiem piemērojamiem tiesību aktiem, lai atvieglotu preču importu un eksportu. Nosaka un izseko maksājamās nodevas un nodokļus un apstrādā maksājumus klienta vārdā. Paraksta dokumentus saskaņā ar pilnvaru. Pārstāv klientus sanāksmēs ar muitas amatpersonām un pieteikties uz nodokļu atmaksu un tarifu pārklasificēšanu. Koordinē importēto preču transportēšanu un uzglabāšanu.;Analītika
13-1051.00;Izmaksu aprēķinātājs;Sagatavo izmaksu tāmes produktu ražošanai, būvniecības projektiem vai pakalpojumiem, lai palīdzētu vadībai solīt cenas vai nosaka produkta vai pakalpojuma cenu. Var specializēties atbilstoši veiktajam pakalpojumam vai ražotā produkta veidam.;Analītika
13-1071.00;Cilvēkresursu speciālists;Pieņem darbā, pārbauda, intervē vai ievieto personas organizācijā. Var veikt citas darbības vairākās cilvēkresursu jomās.;Analītika
13-1074.00;Lauku darba līgumslēdzējs;Pieņem darbā un nolīgt sezonas vai pagaidu lauksaimniecības strādniekus. Var transportēt, izmitināt un nodrošināt strādnieku ēdināšanu.;Analītika
13-1075.00;Darba attiecību speciālists;Atrisina strīdus starp darbiniekiem un vadītājiem, vienojas par koplīgumu slēgšanu vai koordinē sūdzību procedūras, lai izskatītu darbinieku sūdzības.;Analītika
13-1081.00;Loģistiķis;Analizē un koordinē uzņēmuma vai organizācijas loģistikas funkcijas. Atbild par visu produkta dzīves ciklu, tostarp iegādi, izplatīšanu, iekšējo piešķiršanu, piegādi un resursu galīgo iznīcināšanu.;Analītika
13-1081.01;Loģistikas inženieris;Izstrādā vai analizē operatīvos risinājumus tādiem projektiem kā transporta optimizācija, tīkla modelēšana, procesu un metožu analīze, izmaksu ierobežošana, jaudas palielināšana, maršrutēšanas un sūtījumu optimizācija vai informācijas pārvaldība.;Analītika
13-1081.02;Loģistikas analītiķis;Analizē produktu piegādes vai piegādes ķēdes procesus, lai noteiktu vai ieteiktu izmaiņas. Var pārvaldīt maršruta aktivitātes, tostarp rēķinu izrakstīšanu, elektroniskos rēķinus un sūtījumu izsekošanu.;Analītika
13-1082.00;Projektu vadības speciālists;Analizē un koordinē produkta vai pakalpojuma grafiku, laika grafiku, iepirkumu, personālu un budžetu katram projektam. Vada un vada tehniskā personāla darbu. Var kalpot kā kontaktpunkts klientam vai klientam.;Analītika
13-1111.00;Pārvaldības analītiķis;Veic organizatoriskus pētījumus un novērtējumus, izstrādā sistēmas un procedūras, veic darba vienkāršošanas un mērījumu pētījumus un sagatavo operāciju un procedūru rokasgrāmatas, lai palīdzētu vadībai darbojas efektīvāk un efektīvāk. Ietver programmu analītiķus un vadības konsultantus.;Analītika
13-1121.00;Sanāksmju, konferenču un pasākumu plānotājs;Koordinē personāla, sanāksmju personāla vai klientu aktivitātes, lai vienotos par grupu sanāksmēm, pasākumiem vai konvencijām.;Analītika
13-1131.00;Līdzekļu vācējs;Organizē pasākumus, lai piesaistītu līdzekļus vai citādi lūgtu un vāktu naudas ziedojumus vai citas dāvanas organizācijai. Var izstrādāt un ražot reklāmas materiālus. Var arī palielināt izpratni par organizācijas darbu, mērķiem un finanšu vajadzībām.;Analītika
13-1141.00;Atalgojuma, pabalstu un darba analīzes speciālists;Veic atalgojuma un pabalstu programmas un darba analīzi darba devējam. Var specializēties noteiktās jomās, piemēram, amatu klasifikācijā un pensiju programmās.;Analītika
13-1151.00;Apmācības un attīstības speciālists;Izstrādā vai vada ar darbu saistītas apmācības un attīstības programmas, lai uzlabotu individuālās prasmes vai organizatorisko sniegumu. Var analizēt organizācijas apmācības vajadzības vai novērtēt apmācības efektivitāti.;Izglītība
13-1161.00;Tirgus izpētes analītiķis un mārketinga speciālists;Izpētes nosacījumi vietējos, reģionālajos, valsts vai tiešsaistes tirgos. Apkopo informāciju, lai noteiktu iespējamo produkta vai pakalpojuma pārdošanas apjomu vai plāno mārketinga vai reklāmas kampaņu. Var apkopot informāciju par konkurentiem, cenām, pārdošanu un mārketinga un izplatīšanas metodēm. Var izmantot meklēšanas mārketinga taktiku, analizēt tīmekļa metriku un izstrādāt ieteikumus, lai palielinātu meklētājprogrammu ranžēšanu un redzamību mērķa tirgos.;Analītika
13-1161.01;Meklēšanas mārketinga stratēģis;Izmanto meklēšanas mārketinga taktiku, lai palielinātu satura, produktu vai pakalpojumu redzamību un piesaisti internetam iespējotās ierīcēs vai saskarnēs. Pārbauda meklēšanas vaicājumu darbību vispārējās vai speciālajās meklētājprogrammās vai citā interneta saturā. Analizē pētījumus, datus vai tehnoloģiju, lai izprastu lietotāju nodomus un novērtētu notiekošās optimizācijas rezultātus.;Analītika
13-1199.00;Biznesa operāciju speciālists, visi pārējie;Visi biznesa operāciju speciālisti nav atsevišķi uzskaitīti.;Analītika
13-1199.04;Uzņēmējdarbības nepārtrauktības plānotājs;Izstrādā, uztur vai ievieš darbības nepārtrauktības un avārijas seku novēršanas stratēģijas un risinājumus, tostarp riska novērtējumus, uzņēmējdarbības ietekmes analīzi, stratēģijas izvēli un dokumentāciju par darbības nepārtrauktības un avārijas seku novēršanas procedūrām. Plāno, vada un apspriež regulārus fiktīvus katastrofu vingrinājumus, lai pārbaudītu esošo plānu un stratēģiju atbilstību, regulāri atjauninot procedūras un plānus. Darbojas kā koordinators nepārtrauktības centieniem pēc pārtraukuma notikuma.;Analītika
13-1199.05;Ilgtspējības speciālists;Pievēršas uzmanību organizatoriskām ilgtspējības problēmām, piemēram, atkritumu plūsmas pārvaldībai, zaļās būvniecības praksei un zaļā iepirkuma plāniem.;Analītika
13-1199.06;Tiešsaistes tirgotājs;Veic mazumtirdzniecības darbības uzņēmumiem, kas darbojas tikai tiešsaistē. Var veikt tādus pienākumus kā biznesa stratēģiju sagatavošana, preču pirkšana, krājumu pārvaldība, mārketinga aktivitāšu īstenošana, tiešsaistes pasūtījumu izpilde un piegāde un finanšu uzskaites līdzsvarošana.;Analītika
13-1199.07;Drošības vadības speciālists;Veic drošības novērtējumus organizācijām un izstrādā drošības sistēmas un procesus. Var specializēties tādās jomās kā fiziskā drošība vai darbinieku un objektu drošība.;Analītika
13-2011.00;Grāmatvedis un revidents;Pārbauda, analizē un interpretē grāmatvedības ierakstus, lai sagatavotu finanšu pārskatus, sniegtu padomus vai pārbaudītu un novērtētu citu sagatavotos pārskatus. Uzstāda izmaksu vai citu finanšu un budžeta datu reģistrēšanas sistēmas vai konsultē par tām.;Finanses
13-2022.00;Personīgā un biznesa īpašuma vērtētājs;Novērtē un novērtē materiālā personiskā vai biznesa īpašuma, piemēram, juvelierizstrādājumu, mākslas, senlietu, kolekcionējamu priekšmetu un aprīkojuma, patieso vērtību. Var arī novērtēt zemi.;Finanses
13-2023.00;Nekustamā īpašuma vērtētāji un novērtētāji;Novērtē tikai nekustamo īpašumu un novērtē tā patieso vērtību. Var noteikt nodokļus saskaņā ar noteiktajiem grafikiem.;Analītika
13-2031.00;Budžeta analītiķis;Pārbauda budžeta tāmes pilnīgumu, precizitāti un atbilstību procedūrām un noteikumiem. Analizē budžeta un grāmatvedības pārskatus.;Analītika
13-2041.00;Kredītu analītiķis;Analizē privātpersonu vai uzņēmumu kredītdatus un finanšu pārskatus, lai noteiktu riska pakāpi, kas saistīta ar kredīta piešķiršanu vai naudas aizdošanu. Sagatavo ziņojumus ar kredītinformāciju, lai to izmantotu lēmumu pieņemšanā.;Finanses
13-2051.00;Finanšu un investīciju analītiķis;Veic kvantitatīvu informācijas analīzi, kas saistīta ar investīciju programmām vai valsts vai privāto iestāžu finanšu datiem, tostarp uzņēmumu vērtēšanu.;Finanses
13-2052.00;Personīgais finanšu konsultants;Konsultē klientus par finanšu plāniem, izmantojot zināšanas par nodokļu un ieguldījumu stratēģijām, vērtspapīriem, apdrošināšanu, pensiju plāniem un nekustamo īpašumu. Pienākumos ietilpst klientu aktīvu, saistību, naudas plūsmas, apdrošināšanas seguma, nodokļu statusa un finanšu mērķu novērtēšana. Var arī pirkt un pārdot finanšu aktīvus klientiem.;Finanses
13-2053.00;Apdrošināšanas parakstītājs;Pārskata individuālos apdrošināšanas pieteikumus, lai novērtētu iesaistītā riska pakāpi un noteiktu pieteikumu pieņemšanu.;Analītika
13-2054.00;Finanšu risku speciālists;Analizē un novērtē pakļautību kredītriskam un tirgus riskam, kas apdraud organizācijas aktīvus, peļņas spēju vai ekonomisko stāvokli. Var sniegt ieteikumus riska ierobežošanai.;Analītika
13-2061.00;Finanšu pārbaudītājs;Ievieš vai nodrošina atbilstību normatīvajiem aktiem, kas regulē finanšu un vērtspapīru iestādes un finanšu un nekustamā īpašuma darījumus. Var pārbaudīt, pārbaudīt vai autentificēt ierakstus.;Finanses
13-2071.00;Kredīta konsultants;Konsultē un izglīto personas vai organizācijas par parādu iegūšanu un pārvaldību. Var sniegt norādījumus labākā aizdevuma veida noteikšanā un izskaidrot aizdevuma prasības vai ierobežojumus. Var palīdzēt izstrādā parādu pārvaldības plānus vai studentu finansiālās palīdzības paketes. Var sniegt konsultācijas kredīta jautājumos vai sniegt konsultācijas par budžetu, hipotēku, bankrotu vai studentu finansiālo palīdzību.;Finanses
